date,ville,magasin,transaction_id,client_id,sexe,age_client,categorie,produit,prix_unitaire,quantite,remise_pct,moyen_paiement
2024-03-20,Casablanca,E,T000150,C1418,M,,Beaute,Savon,694.55,2,0,Carte
2024-08-04,Rabat,B,T000151,C1617,F,36,Maison,Coussin,817.09,2,15,En ligne
2024-08-17,Tanger,C,T000152,C1249,F,44,Vetements,Chaussures,153.22,2,0,Carte
2024-02-14,Marrakech,B,T000153,C1619,M,27,Maison,Lampe,648.3,1,0,Carte
2024-11-20,Tanger,B,T000154,C1045,F,37,Beaute,Maquillage,677.12,1,0,En ligne
2024-02-28,Tanger,E,T000155,C1472,F,27,Maison,Lampe,1397.63,1,0,Carte
2024-12-13,Rabat,E,T000156,C1124,F,22,Sports,Chaussures Running,1701.41,2,10,Carte
2024-05-04,Casablanca,B,T000157,C1476,M,31,Beaute,Savon,42.71,1,,Carte
2024-03-16,Casablanca,E,T000158,C1215,M,30,Alimentation,Cafe,125.45,1,5,Carte
2024-03-12,Agadir,C,T000159,C1166,F,32,Maison,Chaise,1190.01,1,10,Carte
2024-07-09,Agadir,B,T000160,C1679,F,37,Vetements,Veste,356.2,1,0,Especes
2024-10-27,Marrakech,C,T000161,C1565,M,26,Electronique,Clavier,1094.6,2,10,CB
2024-09-15,Fes,C,T000162,C1090,F,16,Maison,Tapis,168.44,1,0,Especes
2024-03-23,Fes,C,T000163,C1132,F,16,Electronique,Tablette,3132.89,2,5,Especes
2024-05-10,Rabat,B,T000164,C1460,F,31,Vetements,T-shirt,750.24,1,10,Especes
2024-06-03,Rabat,A,T000165,C1253,M,35,Alimentation,Huile,14.63,1,0,Carte
2024-10-04,Marrakech,B,T000166,C1400,M,46,Maison,Chaise,649.95,2,0,Carte
2024-09-13,Tanger,A,T000167,C1398,F,42,Electronique,Clavier,1250.73,1,10,En ligne
2024-11-22,Casablanca,D,T000168,C1686,M,30,Sports,Chaussures Running,330.94,2,10,Carte
2024-12-08,Casablanca,A,T000169,C1337,F,36,Electronique,Clavier,2379.29,1,15,En ligne
2024-06-08,Marrakech,A,T000170,C1200,F,34,Electronique,Ecouteurs,2625.61,2,0,Especes
2024-06-23,Agadir,E,T000171,C1167,F,33,Sports,Ballon,1794.37,3,0,Especes
2024-04-06,Casablanca,B,T000172,C1331,F,41,Sports,Ballon,632.39,1,5,En ligne
2024-03-04,Rabat,A,T000173,C1041,M,40,Sports,Velo appartement,726.34,2,10,En ligne
2024-06-04,Agadir,C,T000174,C1233,F,37,Alimentation,The,147.31,1,0,En ligne
2024-12-19,Rabat,D,T000175,C1661,F,34,Beaute,Serum,454.43,2,0,Carte
2024-04-11,Tanger,A,T000176,C1377,F,47,Maison,Lampe,792.31,1,5,Carte
2024-12-27,Marrakech,D,T000177,C1521,M,31,Beaute,Shampooing,176.28,1,0,Especes
2024-01-16,Agadir,E,T000178,C1440,M,27,Beaute,Maquillage,78.61,1,0,Especes
2024-07-27,Rabat,E,T000179,C1469,F,26,Alimentation,Cafe,195.65,3,5,Carte
2024-01-24,Casablanca,C,T000180,C1530,F,49,Electronique,Souris,740.76,2,0,Especes
2024-02-09,Tanger,C,T000181,C1083,F,23,Alimentation,Cafe,170.38,1,0,Carte
2024-09-02,Fes,A,T000182,C1290,F,40,Sports,Velo appartement,658.61,2,0,En ligne
2024-07-25,Fes,B,T000183,C1262,M,43,Vetements,Veste,364.78,1,0,En ligne
2024-09-22,Rabat,A,T000184,C1042,M,48,Beaute,Parfum,243.03,2,0,Carte
2024-12-15,Marrakech,C,T000185,C1559,F,19,Maison,Coussin,663.55,1,5,En-ligne
2024-02-05,Tanger,D,T000186,C1605,M,28,Beaute,Serum,73.86,1,0,En ligne
2024-11-03,Tanger,C,T000187,C1234,M,39,Sports,Ballon,711.16,2,10,Especes
2024-01-16,Fes,A,T000188,C1647,F,29,Alimentation,Cereales,130.86,2,0,Especes
2024-12-15,Fes,A,T000189,C1210,F,46,Maison,Table,759.29,3,5,En ligne
2024-07-23,Agadir,B,T000190,C1459,M,16,Electronique,Clavier,3480.56,2,15,Carte
2024-10-25,Agadir,B,T000191,C1295,M,22,Alimentation,Pates,129.39,1,10,En ligne
2024-08-20,Fes,D,T000192,C1546,M,29,Alimentation,Huile,165.88,2,5,Especes
2024-12-25,Rabat,B,T000193,C1228,F,29,Alimentation,Cafe,122.16,1,0,Carte
2024-10-12,Agadir,E,T000194,C1209,M,34,Vetements,Sweat,190.31,2,10,Especes
2024-03-26,Rabat,D,T000195,C1009,M,20,Electronique,Ecouteurs,984.28,1,0,En-ligne
2024-11-18,Marrakech,C,T000196,C1369,M,21,Electronique,Casque,1016.76,1,0,CB
2024-10-19,Marrakech,B,T000197,C1227,M,39,Sports,Raquette,1732.53,1,5,Carte
2024-10-16,Fes,C,T000198,C1327,,24,Alimentation,The,76.26,1,10,En ligne
2024-07-22,Casablanca,C,T000199,C1554,M,49,Maison,Miroir,1011.52,2,,Especes
2024-02-19,Tanger,E,T000200,C1271,,22,Vetements,T-shirt,626.96,2,15,En ligne
2024-08-01,Marrakech,C,T000201,C1161,F,33,Vetements,Robe,567.19,1,0,Carte
2024-01-08,Tanger,D,T000202,C1450,,39,Sports,Raquette,812.61,1,0,Carte
2024-03-18,Rabat,E,T000203,C1076,F,43,Vetements,Chaussures,660.51,2,0,En-ligne
2024-03-31,Agadir,E,T000204,C1336,F,30,Alimentation,Cafe,80.55,1,0,En ligne
2024-05-05,Rabat,E,T000205,C1381,M,21,Vetements,T-shirt,720.7,2,0,Especes
2024-12-18,Agadir,E,T000206,C1642,F,32,Alimentation,Cafe,171.57,1,0,En ligne
2024-10-03,Tanger,E,T000207,C1027,F,60,Sports,Chaussures Running,1736.23,2,10,En ligne
2024-10-21,Agadir,C,T000208,C1086,M,39,Maison,Table,679.28,1,10,Carte
2024-12-17,Marrakech,D,T000209,C1390,F,26,Alimentation,Cafe,97.87,2,0,En ligne
2024-02-29,Marrakech,A,T000210,C1022,F,31,Vetements,T-shirt,261.16,2,0,Carte
2024-06-30,Marrakech,B,T000211,C1628,F,42,Maison,Lampe,734.84,1,10,Carte
2024-01-15,Rabat,B,T000212,C1325,M,36,Electronique,Clavier,2701.71,1,15,Carte
2024-01-03,Rabat,C,T000213,C1385,F,33,Maison,Table,623.35,2,0,En ligne
2024-07-15,Fes,D,T000214,C1582,F,22,Sports,Tapis Yoga,929.62,1,0,Especes
2024-08-12,Tanger,D,T000215,C1253,M,31,Beaute,Serum,602.73,2,0,En ligne
2024-06-06,Fes,E,T000216,C1698,M,38,Electronique,Souris,2248.05,1,10,En ligne
2024-10-12,Agadir,E,T000217,C1123,M,32,Vetements,Chaussures,561.07,1,0,Especes
2024-02-23,Tanger,E,T000218,C1290,M,25,Vetements,Robe,759.97,1,15,CB
2024-07-11,Agadir,A,T000219,C1279,M,36,Vetements,Chaussures,841.24,1,10,Especes
2024-06-27,Tanger,B,T000220,C1584,F,39,Maison,Chaise,163.79,1,15,En ligne
2024-08-08,Rabat,A,T000221,C1225,M,29,Vetements,Veste,754.13,2,15,Carte
2024-04-21,Marrakech,B,T000222,C1530,M,24,Sports,Halteres,177.39,1,5,Carte
2024-02-06,Rabat,E,T000223,C1033,M,48,Alimentation,Pates,96.1,1,0,En ligne
2024-04-12,Rabat,D,T000224,C1645,M,43,Electronique,Smartphone,2769.59,2,0,Especes
2024-06-04,Rabat,D,T000225,C1416,M,36,Electronique,Ecouteurs,3333.12,1,10,Carte
2024-04-28,Fes,B,T000226,C1383,M,27,Electronique,Casque,504.13,3,0,Carte
2024-02-16,Agadir,D,T000227,C1650,F,21,Electronique,Tablette,1708.06,1,5,Carte
2024-02-25,Fes,C,T000228,C1308,M,32,Alimentation,Pates,53.98,1,15,Carte
2024-02-16,Fes,B,T000229,C1214,M,24,Sports,Tapis Yoga,348.85,2,5,En ligne
2024-04-27,Fes,D,T000230,C1616,,42,Alimentation,Pates,23.44,3,10,En ligne
2024-09-27,Fes,D,T000231,C1416,M,53,Sports,Chaussures Running,800.7,1,5,En ligne
2024-11-20,Tanger,C,T000232,C1220,F,50,Vetements,Veste,460.53,2,5,Carte
2024-09-18,Agadir,D,T000233,C1593,M,50,Electronique,Smartphone,1374.5,1,10,En ligne
2024-08-20,Marrakech,C,T000234,C1058,F,26,Maison,Coussin,811.42,1,10,En ligne
2024-11-25,Agadir,E,T000235,C1500,M,34,Vetements,T-shirt,461.26,2,10,carte
2024-01-16,Rabat,B,T000236,C1562,M,33,Alimentation,Riz,78.23,1,0,Especes
2024-09-18,Agadir,C,T000237,C1084,M,25,Vetements,Chaussures,474.99,1,0,Carte
2024-01-24,Casablanca,C,T000238,C1641,F,27,Alimentation,The,64.6,2,0,En ligne
2024-08-27,Casablanca,D,T000239,C1605,M,50,Alimentation,Cafe,106.37,2,,En ligne
2024-07-08,Marrakech,E,T000240,C1003,M,31,Electronique,Smartphone,3211.36,2,0,En ligne
2024-10-15,Agadir,A,T000241,C1515,M,37,Maison,Coussin,949.42,3,0,Carte
2024-04-07,Tanger,A,T000242,C1338,F,31,Electronique,Souris,3215.17,3,0,En ligne
2024-02-01,Fes,C,T000243,C1290,M,39,Maison,Tapis,1361.08,2,0,Especes
2024-07-11,Fes,D,T000244,C1618,M,52,Vetements,Jean,526.13,1,5,Especes
2024-09-09,Casablanca,D,T000245,C1307,F,30,Alimentation,The,162.41,1,0,En ligne
2024-09-11,Marrakech,D,T000246,C1607,F,27,Alimentation,Cereales,83.38,1,15,En ligne
2024-06-12,Fes,B,T000247,C1147,M,16,Sports,Raquette,746.18,1,10,En ligne
2024-03-03,Marrakech,D,T000248,C1532,F,31,Maison,Miroir,953.22,1,0,En ligne
2024-09-08,Agadir,E,T000249,C1351,F,34,Maison,Chaise,1328.58,3,5,En-ligne
2024-02-29,Agadir,B,T000250,C1234,F,41,Sports,Halteres,163.26,2,10,CB
2024-05-09,Rabat,C,T000251,C1498,M,21,Sports,Halteres,854.39,2,0,Carte
2024-10-20,Agadir,E,T000252,C1507,F,37,Maison,Table,214.35,4,5,Especes
2024-03-04,Rabat,A,T000253,C1263,F,,Alimentation,Cafe,184.34,2,10,Carte
2024-11-28,Marrakech,B,T000254,C1566,M,51,Alimentation,The,164.4,1,0,Especes
2024-11-08,Rabat,D,T000255,C1475,F,24,Vetements,T-shirt,685.12,2,5,Carte
2024-05-22,Rabat,D,T000256,C1599,F,41,Electronique,Ecouteurs,3144.28,1,0,En ligne
2024-07-26,Casablanca,D,T000257,C1591,F,43,Alimentation,The,193.33,2,5,En ligne
2024-09-04,Marrakech,B,T000258,C1497,F,41,Alimentation,The,212.94,1,0,Especes
2024-08-30,Casablanca,A,T000259,C1076,F,30,Sports,Velo appartement,1003.71,1,15,Especes
2024-10-20,Agadir,A,T000260,C1192,M,16,Beaute,Maquillage,508.2,1,0,En ligne
2024-09-23,Agadir,D,T000261,C1385,M,33,Vetements,Chaussures,288.93,3,0,carte
2024-06-10,Fes,C,T000262,C1281,F,33,Sports,Raquette,325.72,1,0,En ligne
2024-07-23,Tanger,E,T000263,C1222,F,54,Sports,Halteres,1334.79,1,0,Especes
2024-11-01,Casablanca,D,T000264,C1645,M,16,Alimentation,Cafe,128.62,1,0,En ligne
2024-10-24,Marrakech,B,T000265,C1631,F,20,Sports,Halteres,619,1,0,Carte
2024-10-12,Agadir,D,T000266,C1319,,45,Alimentation,Huile,157.98,1,0,En ligne
2024-09-08,Marrakech,D,T000267,C1513,M,34,Maison,Table,1156.32,1,0,Especes
2024-08-23,Fes,A,T000268,C1212,,22,Vetements,Robe,693.05,2,0,En ligne
2024-06-19,Rabat,D,T000269,C1186,M,29,Alimentation,The,112.01,1,15,Especes
2024-12-19,Marrakech,B,T000270,C1508,F,30,Electronique,Smartphone,1531.9,1,0,Carte
2024-09-12,Agadir,A,T000271,C1386,F,36,Alimentation,Pates,208.39,1,5,En ligne
2024-05-10,Agadir,A,T000272,C1311,F,33,Sports,Halteres,171.85,3,0,En ligne
2024-04-17,Agadir,D,T000273,C1418,F,34,Beaute,Serum,126.2,1,10,Especes
2024-09-24,Casablanca,A,T000274,C1450,M,35,Vetements,Sweat,576.87,1,5,Carte
2024-10-11,Fes,D,T000275,C1155,,40,Alimentation,Cafe,115.16,2,10,Especes
2024-12-16,Agadir,A,T000276,C1315,M,40,Vetements,T-shirt,760.87,1,0,En ligne
2024-10-06,Agadir,B,T000277,C1336,M,32,Vetements,Jean,858.1,4,5,En ligne
2024-10-30,Marrakech,B,T000278,C1134,M,32,Beaute,Shampooing,525.96,1,0,carte
2024-06-07,Tanger,C,T000279,C1247,M,47,Electronique,Smartphone,849.3,2,5,Especes
2024-07-24,Rabat,C,T000280,C1272,M,37,Electronique,Clavier,2190.1,1,10,Especes
2024-12-29,Casablanca,C,T000281,C1082,F,27,Electronique,Souris,1973.14,1,0,En ligne
2024-10-10,Agadir,E,T000282,C1083,M,43,Maison,Tapis,206.47,1,15,Carte
2024-08-14,Agadir,A,T000283,C1672,F,46,Vetements,T-shirt,604.45,1,10,Especes
2024-05-11,Tanger,E,T000284,C1654,M,29,Beaute,Savon,672.07,2,10,Especes
2024-09-14,Agadir,D,T000285,C1066,M,22,Alimentation,Pates,51.73,1,0,Carte
2024-10-10,Agadir,A,T000286,C1606,F,,Alimentation,Pates,105.34,1,5,Carte
